z,rho
201,0.91821966
201.2,0.91823013
201.4,0.91824054
201.6,0.91825089
201.8,0.91826118
202,0.91827141
202.2,0.91828158
202.4,0.91829169
202.6,0.91830174
202.8,0.91831173
203,0.91832166
203.2,0.91833153
203.4,0.91834135
203.6,0.91835111
203.8,0.91836081
204,0.91837045
204.2,0.91838003
204.4,0.91838956
204.6,0.91839904
204.8,0.91840846
205,0.91841782
205.2,0.91842713
205.4,0.91843638
205.6,0.91844558
205.8,0.91845472
206,0.91846381
206.2,0.91847285
206.4,0.91848183
206.6,0.91849076
206.8,0.91849964
207,0.91850847
207.2,0.91851724
207.4,0.91852596
207.6,0.91853463
207.8,0.91854325
208,0.91855182
208.2,0.91856034
208.4,0.91856881
208.6,0.91857723
208.8,0.9185856
209,0.91859392
209.2,0.91860219
209.4,0.91861042
209.6,0.91861859
209.8,0.91862672
210,0.91863479
210.2,0.91864283
210.4,0.91865081
210.6,0.91865875
210.8,0.91866664
211,0.91867448
211.2,0.91868228
211.4,0.91869003
211.6,0.91869774
211.8,0.9187054
212,0.91871301
212.2,0.91872058
212.4,0.91872811
212.6,0.91873559
212.8,0.91874303
213,0.91875042
213.2,0.91875777
213.4,0.91876508
213.6,0.91877235
213.8,0.91877957
214,0.91878675
214.2,0.91879388
214.4,0.91880098
214.6,0.91880803
214.8,0.91881504
215,0.91882202
215.2,0.91882895
215.4,0.91883583
215.6,0.91884268
215.8,0.91884949
216,0.91885626
216.2,0.91886299
216.4,0.91886968
216.6,0.91887632
216.8,0.91888293
217,0.91888951
217.2,0.91889604
217.4,0.91890253
217.6,0.91890899
217.8,0.91891541
218,0.91892179
218.2,0.91892813
218.4,0.91893444
218.6,0.9189407
218.8,0.91894693
219,0.91895313
219.2,0.91895929
219.4,0.91896541
219.6,0.9189715
219.8,0.91897755
220,0.91898356
220.2,0.91898954
220.4,0.91899548
220.6,0.91900139
220.8,0.91900727
221,0.91901311
221.2,0.91901891
221.4,0.91902469
221.6,0.91903042
221.8,0.91903613
222,0.9190418
222.2,0.91904743
222.4,0.91905304
222.6,0.91905861
222.8,0.91906415
223,0.91906965
223.2,0.91907512
223.4,0.91908056
223.6,0.91908597
223.8,0.91909135
224,0.91909669
224.2,0.91910201
224.4,0.91910729
224.6,0.91911254
224.8,0.91911776
225,0.91912295
225.2,0.91912811
225.4,0.91913324
225.6,0.91913834
225.8,0.91914341
226,0.91914845
226.2,0.91915346
226.4,0.91915844
226.6,0.91916339
226.8,0.91916831
227,0.9191732
227.2,0.91917807
227.4,0.9191829
227.6,0.91918771
227.8,0.91919249
228,0.91919724
228.2,0.91920196
228.4,0.91920665
228.6,0.91921132
228.8,0.91921596
229,0.91922057
229.2,0.91922516
229.4,0.91922972
229.6,0.91923425
229.8,0.91923875
230,0.91924323
